"","Id","Area","ScaleLength","WBAN","LONGITUDE","LATITUDE","NETWORK","OPERATION","STATUS"
"23",23,6.5619,2.56162058080427,"04131",-110.71,43.66,"USCRN","Operational","Commissioned"
"24",24,11.7711,3.43090367104645,"04136",-117.52,47.41,"USCRN","Operational","Commissioned"
"25",25,1.0701,1.034456378974,"04137",-113,45.15,"USCRN","Operational","Commissioned"
"26",26,11.4408,3.3824251654693,"04138",-112.54,41.61,"USCRN","Operational","Commissioned"
"27",29,53.6175,7.32239714847535,"04141",-124.31,43.27,"USCRN","Operational","Commissioned"
"28",30,54.0396,7.35116317326721,"04222",-122.6,40.65,"USCRN","Operational","Commissioned"
"29",31,0.3276,0.572363520850167,"04223",-121.44,48.54,"USCRN","Operational","Commissioned"
"30",32,25.7967,5.07904518585925,"04236",-123.32,44.41,"USCRN","Operational","Commissioned"
"31",33,0.9774,0.988635423197045,"04237",-123.81,47.51,"USCRN","Operational","Commissioned"
"32",34,50.1768,7.08355842779602,"04990",-96.62,43.73,"USCRN","Operational","Commissioned"
"33",35,0.8694,0.932416216075203,"04994",-95.87,48.3,"USCRN","Operational","Commissioned"
"34",36,28.7703,5.36379529810749,"12987",-98.06,26.52,"USCRN","Operational","Commissioned"
"35",37,15.2361,3.90334471959626,"13301",-93.14,39.86,"USCRN","Operational","Commissioned"
"36",38,3.4272,1.85126983446498,"22016",-103.2,29.34,"USCRN","Operational","Commissioned"
"37",39,19.8666,4.45719642824949,"23803",-89.43,34.82,"USCRN","Operational","Commissioned"
"38",40,27.3987,5.23437675373105,"23904",-91.78,35.82,"USCRN","Operational","Commissioned"
"39",41,6.4521,2.54009842328993,"23906",-96.82,28.3,"USCRN","Operational","Commissioned"
"40",42,39.1113,6.25390278146375,"23907",-98.08,30.62,"USCRN","Operational","Commissioned"
"41",43,62.91,7.93158243984137,"23908",-94.58,37.42,"USCRN","Operational","Commissioned"
"42",44,16.4007,4.04977777168081,"23909",-91.72,37.63,"USCRN","Operational","Commissioned"
"43",45,6.4197,2.53371269089453,"25379",-135.32,57.05,"USCRN","Operational","Commissioned"
"44",46,1.161,1.07749709976408,"25380",-135.69,58.42,"USCRN","Operational","Commissioned"
"45",47,3.3129,1.8201373574541,"25381",-131.58,55.04,"USCRN","Operational","Commissioned"
"46",49,0.9441,0.971648084442099,"25630",-160.46,55.34,"USCRN","Operational","Commissioned"
"47",50,0.567,0.752994023880668,"25711",-170.21,57.15,"USCRN","Operational","Commissioned"
"48",51,76.0752,8.72210983650172,"26494",-147.51,64.97,"USCRN","Operational","Commissioned"
"49",52,0.5121,0.715611626512594,"26562",-154.31,60.19,"USCRN","Operational","Commissioned"
"50",55,9.7983,3.13022363418335,"26565",-148.46,70.16,"USCRN","Operational","Commissioned"
"51",56,4.5387,2.13042249330972,"26655",-162.92,68.02,"USCRN","Operational","Commissioned"
"52",57,5.9634,2.44200737099625,"27516",-156.61,71.32,"USCRN","Operational","Commissioned"
"53",58,339.0597,18.4135737976092,"53131",-111.16,32.23,"USCRN","Operational","Commissioned"
"54",59,36.6921,6.05740043252879,"53132",-110.5,31.59,"USCRN","Operational","Commissioned"
"55",60,8.6976,2.94916937458668,"53136",-116.02,36.62,"USCRN","Operational","Commissioned"
"56",61,5.2614,2.29377418243383,"53138",-114.2,39.01,"USCRN","Operational","Commissioned"
"57",62,1.1529,1.0737318100904,"53139",-117.14,36.6,"USCRN","Operational","Commissioned"
"58",63,5.3928,2.32224029764364,"53149",-111.29,38.3,"USCRN","Operational","Commissioned"
"59",64,0.1962,0.442944691807002,"53150",-119.82,37.75,"USCRN","Operational","Commissioned"
"60",65,310.6674,17.6257595581013,"53151",-117.19,33.43,"USCRN","Operational","Commissioned"
"61",66,90.6831,9.52276745489461,"53152",-119.87,34.41,"USCRN","Operational","Commissioned"
"62",67,8.8425,2.97363414023985,"53154",-114.18,32.83,"USCRN","Operational","Commissioned"
"63",68,1.8918,1.37542720636172,"53155",-112.33,35.75,"USCRN","Operational","Commissioned"
"64",69,190.926,13.817597475683,"53877",-82.61,35.49,"USCRN","Operational","Commissioned"
"65",70,171.2844,13.0875666187416,"53878",-82.55,35.41,"USCRN","Operational","Commissioned"
"66",71,39.7215,6.30249950416499,"53926",-97.09,36.11,"USCRN","Operational","Commissioned"
"67",72,40.7178,6.38105007032542,"53927",-97.1,36.13,"USCRN","Operational","Commissioned"
"68",73,124.1937,11.144222718521,"53960",-91.87,30.09,"USCRN","Operational","Commissioned"
"69",74,15.0939,3.88508687161561,"53961",-92.11,32.88,"USCRN","Operational","Commissioned"
"70",75,32.5026,5.70110515602019,"53968",-95.72,31.77,"USCRN","Operational","Commissioned"
"71",76,68.436,8.2726053937076,"53974",-96.6,39.1,"USCRN","Operational","Commissioned"
"72",77,120.789,10.9904049060988,"54794",-70.92,43.17,"USCRN","Operational","Commissioned"
"73",78,123.7365,11.1236909342178,"54795",-70.94,43.1,"USCRN","Operational","Commissioned"
"74",79,126.792,11.2601953801877,"54796",-71.54,41.49,"USCRN","Operational","Commissioned"
"75",80,112.752,10.6184744667019,"54797",-71.54,41.47,"USCRN","Operational","Commissioned"
"76",81,109.4058,10.4597227496717,"54808",-88.37,40.05,"USCRN","Operational","Commissioned"
"77",82,2.4156,1.55422006163863,"54810",-86.92,46.33,"USCRN","Operational","Commissioned"
"78",83,66.7656,8.17102196790585,"54811",-88.85,41.84,"USCRN","Operational","Commissioned"
"79",84,33.4485,5.78346781784078,"54851",-81.78,40.36,"USCRN","Operational","Commissioned"
"80",85,24.0183,4.90084686559374,"54854",-84.72,44.9,"USCRN","Operational","Commissioned"
"81",86,43.7265,6.61260160602467,"54902",-93.28,41.55,"USCRN","Operational","Commissioned"
"82",87,6.345,2.518928343562,"54903",-90.17,44.06,"USCRN","Operational","Commissioned"
"83",88,8.0109,2.83035333483295,"54932",-92.99,46.11,"USCRN","Operational","Commissioned"
"84",89,2.2275,1.49248115565993,"54933",-99.12,45.71,"USCRN","Operational","Commissioned"
"85",90,5.5962,2.36562888044596,"54937",-99.47,46.77,"USCRN","Operational","Commissioned"
"86",91,0.2376,0.487442304278158,"56401",-145.5,63.02,"USCRN","Operational","Commissioned"
"87",92,21.4353,4.62982721059868,"63826",-81.32,33.35,"USCRN","Operational","Commissioned"
"88",93,8.0343,2.83448408003996,"63828",-84.47,31.31,"USCRN","Operational","Commissioned"
"89",94,5.6412,2.37512104954674,"63829",-84.44,31.19,"USCRN","Operational","Commissioned"
"90",95,21.4452,4.63089624154979,"63831",-89.07,32.33,"USCRN","Operational","Commissioned"
"91",96,125.8632,11.2188769491425,"63838",-84.74,38.09,"USCRN","Operational","Commissioned"
"92",97,0.9225,0.960468635614927,"63849",-86.23,37.25,"USCRN","Operational","Commissioned"
"93",98,70.596,8.40214258388895,"63850",-83.38,33.78,"USCRN","Operational","Commissioned"
"94",99,42.4089,6.51221160589857,"63855",-85.13,36.01,"USCRN","Operational","Commissioned"
"95",100,65.2689,8.07891700662904,"63856",-81.45,30.8,"USCRN","Operational","Commissioned"
"96",101,13.7646,3.71006738483279,"63857",-85.96,34.28,"USCRN","Operational","Commissioned"
"97",102,17.6229,4.19796379212589,"63858",-87.24,32.45,"USCRN","Operational","Commissioned"
"98",103,75.4992,8.68902756354242,"63869",-87.87,30.54,"USCRN","Operational","Commissioned"
"99",104,28.9395,5.37954459039053,"63898",-86.57,38.88,"USCRN","Operational","Commissioned"
"100",105,99.1566,9.95774070761034,"64756",-73.74,41.78,"USCRN","Operational","Commissioned"
"101",106,39.6981,6.30064282434737,"64758",-76.24,42.44,"USCRN","Operational","Commissioned"
"102",107,98.3502,9.91716693416018,"92821",-80.69,28.61,"USCRN","Operational","Commissioned"
"103",108,7.6545,2.76667670680909,"92826",-81.31,25.89,"USCRN","Operational","Commissioned"
"104",109,36.4176,6.03469966112648,"92827",-81.36,27.15,"USCRN","Operational","Commissioned"
"105",110,34.4628,5.87050253385517,"93243",-120.88,37.23,"USCRN","Operational","Commissioned"
"106",111,3.2877,1.81320158835139,"93245",-123.07,38.32,"USCRN","Operational","Commissioned"
"107",114,7.5465,2.74708936876833,"94074",-104.75,40.8,"USCRN","Operational","Commissioned"
"108",115,1.242,1.1144505372604,"94075",-105.54,40.03,"USCRN","Operational","Commissioned"
"109",116,0.576,0.758946638440411,"94077",-103.73,42.42,"USCRN","Operational","Commissioned"
"110",117,7.6266,2.76162995348761,"94078",-108.66,42.67,"USCRN","Operational","Commissioned"
"111",118,4.23,2.05669638012031,"94079",-101.44,42.06,"USCRN","Operational","Commissioned"
"112",119,5.1957,2.2794078178334,"94080",-103.37,46.89,"USCRN","Operational","Commissioned"
"113",120,0.0909,0.301496268633627,"94081",-103.3,45.51,"USCRN","Operational","Commissioned"
"114",121,1.3221,1.14982607380421,"94082",-108.96,40.24,"USCRN","Operational","Commissioned"
"115",122,1.0089,1.00444014256699,"94084",-102.17,48.96,"USCRN","Operational","Commissioned"
"116",123,5.6799,2.3832540779363,"94085",-100.35,44.01,"USCRN","Operational","Commissioned"
"117",124,4.5828,2.14074753298935,"94088",-104.43,44.51,"USCRN","Operational","Commissioned"
"118",125,70.5177,8.39748176538657,"94644",-68.7,44.92,"USCRN","Operational","Commissioned"
"119",126,32.598,5.70946582440074,"94645",-67.88,46.96,"USCRN","Operational","Commissioned"
"120",127,198.1386,14.0761713544557,"94995",-96.56,40.84,"USCRN","Operational","Commissioned"
"121",128,109.5093,10.4646691299821,"94996",-96.85,40.69,"USCRN","Operational","Commissioned"
"122",129,2.8917,1.70049992649221,"96404",-141.2,62.73,"USCRN","Operational","Commissioned"
