"","X","Count","Area","ScaleLength","Total","Id","CRNid","PopCount","WBAN","LONGITUDE","LATITUDE","NETWORK","OPERATION","STATUS","Area30m","ScaleLength30m"
"82",82,5,0.45,0.670820393249937,19029,82,82,3781.15132012138,54810,-86.92,46.33,"USCRN","Operational","Commissioned",2.4156,1.55422006163863
"83",83,541,48.69,6.9778220097678,17654,83,83,76470.1766687328,54811,-88.85,41.84,"USCRN","Operational","Commissioned",66.7656,8.17102196790585
"84",84,249,22.41,4.73392015141785,17264,84,84,50096.5982450992,54851,-81.78,40.36,"USCRN","Operational","Commissioned",33.4485,5.78346781784078
"85",85,317,28.53,5.34134814442946,18560,85,85,23450.6475461868,54854,-84.72,44.9,"USCRN","Operational","Commissioned",24.0183,4.90084686559374
"86",86,180,16.2,4.02492235949962,17579,86,86,42714.6948070064,54902,-93.28,41.55,"USCRN","Operational","Commissioned",43.7265,6.61260160602467
"87",87,118,10.62,3.25883414736006,18293,87,87,10054.4985233867,54903,-90.17,44.06,"USCRN","Operational","Commissioned",6.345,2.518928343562
"88",88,23,2.07,1.43874945699382,18953,88,88,12413.4641003477,54932,-92.99,46.11,"USCRN","Operational","Commissioned",8.0109,2.83035333483295
"89",89,8,0.72,0.848528137423857,18818,89,89,839.413029407769,54933,-99.12,45.71,"USCRN","Operational","Commissioned",2.2275,1.49248115565993
"90",90,2,0.18,0.424264068711929,19178,90,90,1219.75723599858,54937,-99.47,46.77,"USCRN","Operational","Commissioned",5.5962,2.36562888044596
"91",91,3,0.27,0.519615242270663,28854,91,91,42.9339445680204,56401,-145.5,63.02,"USCRN","Operational","Commissioned",0.2376,0.487442304278158
"92",92,174,15.66,3.95727178748188,15778,92,92,30110.4278109658,63826,-81.32,33.35,"USCRN","Operational","Commissioned",21.4353,4.62982721059868
"93",93,5,0.45,0.670820393249937,15427,93,93,4685.79244450668,63828,-84.47,31.31,"USCRN","Operational","Commissioned",8.0343,2.83448408003996
"94",94,1,0.09,0.3,15410,94,94,6036.09821114776,63829,-84.44,31.19,"USCRN","Operational","Commissioned",5.6412,2.37512104954674
"95",95,60,5.4,2.32379000772445,15599,95,95,15903.5249791276,63831,-89.07,32.33,"USCRN","Operational","Commissioned",21.4452,4.63089624154979
"96",96,1323,119.07,10.9119200876839,16717,96,96,190508.860793263,63838,-84.74,38.09,"USCRN","Operational","Commissioned",125.8632,11.2188769491425
"97",97,23,2.07,1.43874945699382,16545,97,97,18860.0231124822,63849,-86.23,37.25,"USCRN","Operational","Commissioned",0.9225,0.960468635614927
"98",98,495,44.55,6.6745786383861,15857,98,98,114891.7403225,63850,-83.38,33.78,"USCRN","Operational","Commissioned",70.596,8.40214258388895
"99",99,198,17.82,4.22137418384109,16274,99,99,52665.0497001148,63855,-85.13,36.01,"USCRN","Operational","Commissioned",42.4089,6.51221160589857
"100",100,484,43.56,6.6,15354,100,100,57467.0408115379,63856,-81.45,30.8,"USCRN","Operational","Commissioned",65.2689,8.07891700662904
"101",101,75,6.75,2.59807621135332,15949,101,101,44889.8066198234,63857,-85.96,34.28,"USCRN","Operational","Commissioned",13.7646,3.71006738483279
"102",102,127,11.43,3.38082830087539,15613,102,102,17384.9696683529,63858,-87.24,32.45,"USCRN","Operational","Commissioned",17.6229,4.19796379212589
"103",103,264,23.76,4.87442304278158,15304,103,103,111945.144711302,63869,-87.87,30.54,"USCRN","Operational","Commissioned",75.4992,8.68902756354242
"104",104,317,28.53,5.34134814442946,16913,104,104,49383.8111599486,63898,-86.57,38.88,"USCRN","Operational","Commissioned",28.9395,5.37954459039053
"105",105,1330,119.7,10.9407495172863,17641,105,105,164504.904312151,64756,-73.74,41.78,"USCRN","Operational","Commissioned",99.1566,9.95774070761034
"106",106,404,36.36,6.02992537267253,17813,106,106,73893.6579607021,64758,-76.24,42.44,"USCRN","Operational","Commissioned",39.6981,6.30064282434737
"107",107,1173,105.57,10.2747262737262,15023,107,107,90789.6259827522,92821,-80.69,28.61,"USCRN","Operational","Commissioned",98.3502,9.91716693416018
"108",108,19,1.71,1.3076696830622,14658,108,108,1498.69578931984,92826,-81.31,25.89,"USCRN","Operational","Commissioned",7.6545,2.76667670680909
"109",109,658,59.22,7.6954532030284,14823,109,109,20067.2998691062,92827,-81.36,27.15,"USCRN","Operational","Commissioned",36.4176,6.03469966112648
"110",110,441,39.69,6.3,16537,110,110,65157.7365191313,93243,-120.88,37.23,"USCRN","Operational","Commissioned",34.4628,5.87050253385517
"111",111,83,7.47,2.73313007374329,16785,111,111,14485.1627768334,93245,-123.07,38.32,"USCRN","Operational","Commissioned",3.2877,1.81320158835139
"112",112,0,0,0,19803,112,112,159.360527130077,94059,-105.2,48.48,"USCRN","Operational","Commissioned",0,0
"113",113,0,0,0,19748,113,113,273.485288003358,94060,-105.1,48.3,"USCRN","Operational","Commissioned",0,0
"114",114,22,1.98,1.40712472794703,17382,114,114,3694.9354602258,94074,-104.75,40.8,"USCRN","Operational","Commissioned",7.5465,2.74708936876833
"115",115,51,4.59,2.14242852856286,17185,115,115,13754.9097798157,94075,-105.54,40.03,"USCRN","Operational","Commissioned",1.242,1.1144505372604
"116",116,23,2.07,1.43874945699382,17814,116,116,129.477020188719,94077,-103.73,42.42,"USCRN","Operational","Commissioned",0.576,0.758946638440411
"117",117,94,8.46,2.9086079144498,17884,117,117,8544.24102872904,94078,-108.66,42.67,"USCRN","Operational","Commissioned",7.6266,2.76162995348761
"118",118,0,0,0,17709,118,118,182.679353014646,94079,-101.44,42.06,"USCRN","Operational","Commissioned",4.23,2.05669638012031
"119",119,19,1.71,1.3076696830622,19223,119,119,1391.49951367655,94080,-103.37,46.89,"USCRN","Operational","Commissioned",5.1957,2.2794078178334
"120",120,0,0,0,18746,120,120,122.253092084975,94081,-103.3,45.51,"USCRN","Operational","Commissioned",0.0909,0.301496268633627
"121",121,0,0,0,17229,121,121,548.701633908557,94082,-108.96,40.24,"USCRN","Operational","Commissioned",1.3221,1.14982607380421
"122",122,0,0,0,19999,122,122,783.321010872263,94084,-102.17,48.96,"USCRN","Operational","Commissioned",1.0089,1.00444014256699
"123",123,0,0,0,18277,123,123,377.130625595085,94085,-100.35,44.01,"USCRN","Operational","Commissioned",5.6799,2.3832540779363
"124",124,26,2.34,1.52970585407784,18426,124,124,2185.61300502264,94088,-104.43,44.51,"USCRN","Operational","Commissioned",4.5828,2.14074753298935
"125",125,1274,114.66,10.7079409785448,18572,125,125,89112.3145087385,94644,-68.7,44.92,"USCRN","Operational","Commissioned",70.5177,8.39748176538657
"126",126,353,31.77,5.63648826841678,19244,126,126,24204.9787048421,94645,-67.88,46.96,"USCRN","Operational","Commissioned",32.598,5.70946582440074
"127",127,2477,222.93,14.9308405657552,17386,127,127,293224.116188442,94995,-96.56,40.84,"USCRN","Operational","Commissioned",198.1386,14.0761713544557
"128",128,1330,119.7,10.9407495172863,17348,128,128,162103.530311074,94996,-96.85,40.69,"USCRN","Operational","Commissioned",109.5093,10.4646691299821
"129",129,0,0,0,28568,129,129,36.4801594627065,96404,-141.2,62.73,"USCRN","Operational","Commissioned",2.8917,1.70049992649221
"130",130,0,0,0,30401,130,130,0.192230184652786,96406,-154.12,64.5,"USCRN","Operational","Commissioned",0,0
