"","Count","Area","ScaleLength","Total","Id","USid","PopCount","Lat","Lon","COOP.","CRN","Station","State","Grid","AP...WWTP","Environs","Tmean.trend","Tmax.trend","Tmin.trend"
"22",25,2.25,1.5,16293,22,22,2783.34930556814,36.05278,-112.15028,23596,"3","GRAND CANYON NATL PARK 2","AZ",19,"x","R",0.770863914,0.986374519,0.576341505
"23",240,21.6,4.6475800154489,16055,23,23,7692.55902275375,34.9094,-110.1544,24089,"4","HOLBROOK","AZ",10,"x","R",1.020695793,0.434711516,1.144866974
"24",499,44.91,6.7014923711066,16134,24,24,59661.6801164502,35.2,-114.01667,24645,"x","KINGMAN 2","AZ",19,"x","S",0.495758793,0.356430565,0.706615452
"25",76,6.84,2.6153393661244,16467,25,25,10169.7958802519,36.8644,-111.6022,24849,"4","LEES FERRY","AZ",19,"x","R",-0.017850586,-0.117935481,-0.094762205
"26",9098,818.82,28.615031015185,15796,26,26,1452233.03243782,33.4114,-111.8183,25467,"4","MESA","AZ",10,"x","U",0.836985005,1.26964534,0.780343545
"27",240,21.6,4.6475800154489,15780,27,27,18549.7437854026,33.4044,-110.87,25512,"5","MIAMI","AZ",10,"x","R",1.04622368,1.123684261,0.943020512
"28",236,21.24,4.60868744872116,15917,28,28,10574.288220562,34.1547,-114.2897,26250,"4","PARKER","AZ",10,"x","R",-0.330090608,-0.008659375,-0.355031233
"29",634,57.06,7.5538069872085,15984,29,29,120663.677222934,34.5706,-112.4322,26796,"4","PRESCOTT","AZ",10,"W","S",0.617360044,0.549084084,0.673520134
"30",0,0,0,15830,30,30,906.629013391967,33.6731,-111.1508,27281,"5","ROOSEVELT","AZ",10,"x","R",0.217572272,0.212626973,-0.005715711
"31",376,33.84,5.8172158288996,15723,31,31,195926.942002178,33.08,-111.7416,27370,"4","SACATON","AZ",10,"x","R",2.65488582,2.598441209,2.659160894
"32",187,16.83,4.1024382993532,15681,32,32,31809.4985792251,32.815,-109.6808,27390,"3","SAFFORD AGRICULTURAL CENTER","AZ",9,"x","R",0.404440819,0.53584067,0.323288128
"33",122,10.98,3.31360830515618,15978,33,33,3894.62378874672,34.5172,-109.4028,27435,"4","SAINT JOHNS","AZ",9,"x","R",0.74000306,0.647630805,0.714757055
"34",23,2.07,1.43874945699382,16132,34,34,983.787438406669,35.33222,-112.87972,27716,"4","SELIGMAN","AZ",19,"x","R",0.681104467,0.964161498,0.431808158
"35",13,1.17,1.0816653826392,15498,35,35,2794.73632607853,31.70556,-110.05694,28619,"x","TOMBSTONE (rating uncertain)","AZ",10,"x","R",0.107420477,0.406503489,-0.108080035
"36",7092,638.28,25.2642039257128,15575,36,36,832549.765840621,32.22917,-110.95361,28815,"5","TUCSON U OF AZ","AZ",10,"x","U",0.266390999,0.094025575,0.369872987
"37",76,6.84,2.6153393661244,15872,37,37,10216.1866296478,33.8169,-109.9833,29271,"4","WHITERIVER","AZ",9,"A","R",1.266760649,1.951285499,0.562038451
"38",81,7.29,2.7,15881,38,38,11027.5865752741,33.9792,-112.7403,29287,"5","WICKENBURG","AZ",10,"x","R",0.695470267,0.791711453,0.697202746
"39",78,7.02,2.64952825989835,16124,39,39,5474.88041878135,35.2405,-112.1902,29359,"4","WILLIAMS","AZ",19,"x","R",0.491290205,0.453793026,0.463781548
"40",1016,91.44,9.56242647030554,15646,40,40,236107.89742025,32.61139,-114.635,29652,"4","YUMA CITRUS","AZ",10,"x","U",0.812460025,0.226231033,1.180599156
"41",135,12.15,3.48568501158668,16045,41,41,6243.58242974904,34.88222,-91.21528,30936,"4","BRINKLEY","AR",6,"W","R",0.08859283,-0.197792359,0.321028228
"42",553,49.77,7.05478560978291,16116,42,42,115066.35594463,35.08333,-92.46667,31596,"x","CONWAY","AR",15,"x","S",0.126825462,-0.390913961,0.394349651
"43",54,4.86,2.20454076850486,16367,43,43,9079.27461386676,36.4197,-90.5858,31632,"3","CORNING","AR",15,"x","R",0.064631815,-0.217863735,0.392728062
"44",92,8.28,2.87749891398763,16371,44,44,21712.0891322108,36.41639,-93.79167,32356,"x","EUREKA SPRINGS","AR",15,"x","R",0.107091602,-0.173184962,0.39066368
"45",1079,97.11,9.8544406233941,16304,45,45,236247.581625434,36.10056,-94.17444,32444,"2","FAYETTEVILLE EXP STN","AR",15,"x","S",0.409078896,0.233726766,0.809064538
"46",137,12.33,3.51140997321589,16356,46,46,74203.1450721771,36.42611,-94.44806,32930,"3","GRAVETTE","AR",15,"x","R",0.46992799,0.450073531,0.450009071
"47",33,2.97,1.72336879396141,16383,47,47,11186.5076478403,36.49472,-91.535,34572,"4","MAMMOTH SPRING","AR",15,"x","R",0.056157803,-0.237335042,0.222187581
"48",76,6.84,2.6153393661244,16002,48,48,15658.9361313561,34.5731,-94.2494,34756,"3","MENA","AR",6,"x","R",-0.189653982,-0.197242508,0.04577463
"49",145,13.05,3.61247837363769,16192,49,49,16821.1669580598,35.6042,-91.2744,35186,"3","NEWPORT","AR",15,"W","R",0.525942447,0.50599391,0.585980032
"50",27,2.43,1.55884572681199,16172,50,50,17494.533262456,35.48333,-93.81667,35508,"4","OZARK","AR",15,"x","R",-1.101866616,-0.671770038,-1.542109968
"51",981,88.29,9.39627585801949,15940,51,51,67602.3123226204,34.2256,-92.0189,35754,"4","PINE BLUFF","AR",6,"W","U",0.385560902,0.11986649,0.730266462
"52",121,10.89,3.3,16346,52,52,16719.1097228677,36.2639,-90.9681,35820,"3","POCAHONTAS 1","AR",15,"x","R",-0.380428305,-0.461432106,-0.139532237
"53",41,3.69,1.92093727122985,15851,53,53,8427.70123697023,33.7975,-93.37667,35908,"x","PRESCOTT","AR",6,"W","R",0.017738843,-0.211648642,0.189748628
"54",43,3.87,1.9672315572906,15848,54,54,2295.35265406517,33.81,-91.2703,36253,"3","ROHWER","AR",6,"x","R",0.344271814,0.206123995,0.464350421
"55",45,4.05,2.01246117974981,16142,55,55,16405.7176986177,35.30278,-93.63694,36928,"3","SUBIACO","AR",15,"x","R",-0.214446352,-0.422286213,0.030960368
"56",6250,562.5,23.7170824512628,16689,56,56,1504054.22623608,37.87444,-122.25889,40693,"3","BERKELEY","CA",21,"x","U",0.231488075,0.712195403,-0.256264983
"57",195,17.55,4.18927201313068,15826,57,57,21094.4782238344,33.6131,-114.5972,40924,"4","BLYTHE","CA",10,"x","R",1.172864477,1.129358828,1.080108821
"58",617,55.53,7.45184540902453,15701,58,58,97498.4364134576,32.9544,-115.5581,41048,"2","BRAWLEY","CA",11,"x","S",0.375611401,0.242408633,0.461961428
"59",22,1.98,1.40712472794703,17577,59,59,1069.82698795197,41.53361,-120.17361,41614,"4","CEDARVILLE","CA",32,"x","R",0.567378187,0.663275629,0.373082085
"60",1266,113.94,10.6742681247943,17100,60,60,129655.589563381,39.69111,-121.82111,41715,"5","CHICO UNIV FARM","CA",21,"x","S",0.29779147,-0.061503345,0.02399558
"61",7754,697.86,26.4170399553016,15650,61,61,2079657.55867453,32.64,-117.0858,41758,"4","CHULA VISTA","CA",11,"x","U",0.310778578,0.562513194,-0.055219394
"62",471,42.39,6.51076032426321,16956,62,62,97233.7574929619,39.0911,-120.948,41912,"3","COLFAX","CA",21,"x","R",-0.11561226,-0.096824998,-0.094892733
"63",73,6.57,2.56320112359526,15708,63,63,13719.4498872455,32.98972,-116.58722,42239,"4","CUYAMACA","CA",11,"x","R",0.216954275,0.590317576,-0.139716547
"64",1505,135.45,11.6382988447625,16820,64,64,195385.194869605,38.535,-121.77611,42294,"3","DAVIS EXP FARM","CA",21,"x","S",0.537699316,0.475352538,0.527854604
"65",17,1.53,1.2369316876853,16361,65,65,277.322789378079,36.4622,-116.8669,42319,"4","DEATH VALLEY","CA",20,"x","R",0.106251548,0.555697666,-0.22114139
"66",144,12.96,3.6,16793,66,66,34927.1440485757,38.33056,-120.67056,42728,"2","ELECTRA PH","CA",21,"x","R",-0.343854046,0.375093482,-1.249662043
"67",777,69.93,8.36241591885981,17390,67,67,93563.4263180616,40.81056,-124.16028,42910,"4","EUREKA WSO","CA",32,"x","S",-0.015383981,0.127362325,-0.15801627
"68",231,20.79,4.5596052460712,16022,68,68,42537.4632735337,34.70417,-118.4275,42941,"1","FAIRMONT","CA",11,"x","R",0.301413183,0.363712801,0.243340626
"69",181,16.29,4.03608721412211,17044,69,69,15973.2742021385,39.5094,-123.7566,43161,"4","FORT BRAGG","CA",21,"x","R",-0.480152656,-0.483953249,-0.45314987
"70",4699,422.91,20.5647757099366,16454,70,70,733582.522937194,36.73333,-119.81667,43257,"3","FRESNO WSO AP","CA",20,"A","U",0.141952398,0.008899246,0.274882094
"71",681,61.29,7.82879301041993,16345,71,71,117726.424680705,36.32194,-119.63556,43747,"4","HANFORD","CA",20,"x","S",0.426868282,0.424206866,0.47267522
"72",11,0.99,0.99498743710662,17640,72,72,1656.48477087969,41.8042,-123.3758,43761,"4","HAPPY CAMP RS","CA",32,"x","R",0.761595147,0.009941797,0.1972251
"73",624,56.16,7.49399759807808,16847,73,73,94567.7709339651,38.6175,-122.87306,43875,"5","HEALDSBURG","CA",21,"x","S",-0.188996145,-0.087051816,-0.166387408
"74",20,1.8,1.34164078649987,16445,74,74,689.81220230872,36.798,-118.2036,44232,"5","INDEPENDENCE","CA",20,"x","R",0.270172386,0.462106785,0.08999291
"75",2178,196.02,14.0007142674936,15840,75,75,301508.222807741,33.7086,-116.2152,44259,"4","INDIO FIRE STATION","CA",11,"x","S",1.665051774,0.981813202,1.983072661
"76",2,0.18,0.424264068711929,17000,76,76,1630.13379900353,39.31833,-120.63917,44713,"5","LAKE SPAULDING","CA",21,"x","R",0.566200849,0.516843117,1.084363776
"77",249,22.41,4.73392015141785,16365,77,77,59082.5904662103,36.3817,-119.0264,44890,"4","LEMON COVE","CA",20,"x","R",0.335209024,0.528732888,0.138863912
"78",2119,190.71,13.8097791437807,16645,78,78,295914.936207737,37.69222,-121.76917,44997,"5","LIVERMORE","CA",21,"x","U",0.374928551,-0.097514998,0.815976161
"79",2833,254.97,15.9677800586055,16725,79,79,475153.268576042,38.10611,-121.28778,45032,"4","LODI","CA",21,"x","U",0.5498495,0.447195241,0.595406717
"80",1289,116.01,10.7707938426097,16964,80,80,162002.221692404,39.14583,-121.58528,45385,"5","MARYSVILLE","CA",21,"x","S",0.172113403,0.100336363,0.279365324
"81",1192,107.28,10.3576059009792,16548,81,81,171123.044111138,37.28583,-120.51167,45532,"2","MERCED MUNICIPAL AP","CA",21,"A","U",0.725840089,0.353130882,0.761431604
"82",429,38.61,6.21369455316239,17518,82,82,16023.4039117271,41.3325,-122.33278,45983,"4","MOUNT SHASTA","CA",32,"x","R",0.116953326,0.025957777,0.174497505
"83",2019,181.71,13.4799851631966,16766,83,83,298127.334154692,38.2775,-122.26417,46074,"4","NAPA STATE HOSPITAL","CA",21,"x","U",0.158249201,0.074308239,0.254085506
"84",445,40.05,6.3285069329187,16037,84,84,14435.0044986838,34.7675,-114.61889,46118,"3","NEEDLES FAA AP","CA",10,"A","R",0.503426542,0.447599917,0.560097539
"85",7052,634.68,25.1928561302604,15819,85,85,1470285.96736172,33.6025,-117.8803,46175,"5","NEWPORT BEACH HARBOR","CA",11,"x","U",-0.011989814,-0.535016996,0.529810956
"86",1020,91.8,9.58123165360279,15975,86,86,139032.285015776,34.4477,-119.2275,46399,"5","OJAI","CA",11,"x","R",0.364854948,0.345287648,0.20686989
"87",405,36.45,6.03738353924943,17110,87,87,25243.2948614481,39.74583,-122.19972,46506,"3","ORLAND","CA",21,"x","R",0.220818465,0.143875526,0.348316065
"88",2,0.18,0.424264068711929,17512,88,88,867.930801777016,41.3088,-123.5322,46508,"3","ORLEANS","CA",32,"x","R",0.209852446,-0.272449068,0.697629294
"89",10195,917.55,30.2910877982287,15914,89,89,2848955.40297841,34.1483,-118.1447,46719,"4","PASADENA","CA",11,"x","U",0.418080318,0.163762871,0.62170657
"90",457,41.13,6.41326749792958,16211,90,90,86438.0268952998,35.6277,-120.6855,46730,"5","PASO ROBLES","CA",21,"x","R",-0.363404748,-0.688151435,0.043601746
"91",1547,139.23,11.7995762635783,16764,91,91,244194.750483382,38.2577,-122.6077,46826,"4","PETALUMA FIRE STN #2","CA",21,"x","S",-0.056111787,-0.31700782,0.276277111
"92",76,6.84,2.6153393661244,17163,92,92,7056.3726623839,39.9366,-120.9475,47195,"2","QUINCY","CA",21,"x","R",-2.394280344,-4.253879688,-0.459712459
"93",1870,168.3,12.9730489862638,17288,93,93,164288.07231996,40.5175,-122.29861,47304,"4","REDDING WSO","CA",32,"x","U",0.191208957,-0.127921915,0.457645109
"94",6705,603.45,24.5652193151211,15911,94,94,1017635.46770125,34.0528,-117.1894,47306,"4","REDLANDS","CA",11,"x","U",0.330338671,0.251660214,0.304843588
"95",874,78.66,8.86904729945669,16149,95,95,126211.980929606,35.30556,-120.66389,47851,"3","SAN LUIS OBISPO POLY","CA",21,"x","S",0.301076482,0.470701979,0.035709305
"96",1217,109.53,10.4656581255074,15980,96,96,206262.280788299,34.41667,-119.68444,47902,"4","SANTA BARBARA","CA",11,"W","U",-0.086196155,-0.316347165,0.293361378
"97",1050,94.5,9.72111104761179,16480,97,97,203729.705304552,36.99056,-121.99111,47916,"4","SANTA CRUZ","CA",21,"x","U",0.033942306,-0.521486363,0.587180457
"98",2054,184.86,13.5963230323496,16802,98,98,359659.309316229,38.43806,-122.69778,47965,"5","SANTA ROSA","CA",21,"x","U",0.052953317,-0.07049162,0.265355575
"99",216,19.44,4.40908153700972,17286,99,99,25667.9932900111,40.4167,-120.6631,48702,"2","SUSANVILLE AP","CA",32,"A","R",0.23072571,-0.031715493,0.545758258
"100",117,10.53,3.24499614791759,16973,100,100,32868.3033712861,39.16778,-120.14278,48758,"4","TAHOE CITY","CA",21,"x","R",0.437982144,0.299906852,0.489465266
"101",98,8.82,2.9698484809835,16084,101,101,17356.6112118137,35.0233,-118.7497,48839,"4","TEJON RANCHO","CA",20,"x","R",-0.120930646,0.179810731,-0.519797569
"102",9343,840.87,28.997758534066,15840,102,102,1748658.34202706,33.7025,-117.75389,49087,"5","TUSTIN IRVINE RANCH","CA",11,"x","U",0.427724505,0.260778425,0.391418723
"103",328,29.52,5.43323108288245,16972,103,103,39169.4616831761,39.14667,-123.21028,49122,"4","UKIAH","CA",21,"x","S",-0.225950317,-0.450259646,-0.00596204
"104",1693,152.37,12.3438243668646,16790,104,104,253276.215157461,38.39556,-121.96083,49200,"4","VACAVILLE","CA",21,"x","U",0.557915839,0.459682814,0.676692828
"105",461,41.49,6.44127316607517,16202,105,105,75609.928764099,35.5975,-119.35306,49452,"4","WASCO","CA",20,"x","S",-0.130408969,0.207881598,-0.492422247
"106",67,6.03,2.45560583156173,17357,106,106,7699.02921300649,40.735,-122.93917,49490,"4","WEAVERVILLE RS","CA",32,"x","R",-2.09431041,-3.273696305,-0.860390052
"107",137,12.33,3.51140997321589,17071,107,107,9470.72193888691,39.523,-122.3058,49699,"3","WILLOWS","CA",21,"x","R",0.60261005,0.584401656,0.3518672
"108",3,0.27,0.519615242270663,16650,108,108,1401.91960101771,37.75,-119.58972,49855,"4","YOSEMITE PARK HEADQUARTERS","CA",20,"x","R",0.350233572,0.080312999,0.491247849
"109",194,17.46,4.17851648315524,17616,109,109,14617.4198998054,41.7036,-122.6408,49866,"5","YREKA","CA",32,"x","R",0.201613986,0.604476827,-0.205953502
"110",2196,197.64,14.058449416632,17182,110,110,294922.960509107,39.9919,-105.2667,50848,"3","BOULDER","CO",18,"x","U",0.233817826,0.214572508,0.224554471
"111",671,60.39,7.77110030819317,16805,111,111,41903.2079259025,38.4599,-105.2255,51294,"4","CANON CITY","CO",18,"x","S",-0.432639161,-0.065609599,-0.654753222
"112",37,3.33,1.82482875908947,16993,112,112,1267.71429758686,39.2202,-105.2783,51528,"4","CHEESMAN","CO",18,"x","R",-0.172904208,-0.194044698,-0.075607615
"113",8,0.72,0.848528137423857,16891,113,113,1138.05890545456,38.8178,-102.3608,51564,"1","CHEYENNE WELLS","CO",17,"x","R",0.253005299,0.563811248,0.23980962
"114",37,3.33,1.82482875908947,16994,114,114,2611.50991876504,39.2425,-107.96306,51741,"4","COLLBRAN","CO",18,"x","R",-0.362732745,-0.221649744,0.094484392
"115",77,6.93,2.63248931621764,16632,115,115,8650.58686270994,37.6743,-106.3246,52184,"4","DEL NORTE","CO",18,"x","R",-0.139336365,-0.14833613,-0.302068501
"116",347,31.23,5.58838080305915,17082,116,116,29033.0087089603,39.6261,-106.0353,52281,"3","DILLON","CO",18,"x","R",0.184903653,0.393744162,0.069500269
"117",262,23.58,4.85592421687159,16547,117,117,38766.7684985079,37.28333,-107.88333,52432,"x","DURANGO","CO",18,"x","S",0.896323862,0.997536469,0.357515708
"118",0,0,0,16813,118,118,862.783927298296,38.4774,-102.7808,52446,"4","EADS","CO",17,"x","R",0.202072433,-0.166946976,0.494333122
"119",2147,193.23,13.9007194058437,17331,119,119,216312.987128133,40.6147,-105.1313,53005,"4","FORT COLLINS","CO",29,"x","U",0.545983151,0.570716175,0.519778818
"120",296,26.64,5.16139516022558,17237,120,120,24570.153333143,40.26,-103.81556,53038,"5","FORT MORGAN","CO",28,"x","R",0.513096003,0.43707082,0.660759853
"121",983,88.47,9.40584924395453,16978,121,121,67321.9348710021,39.16361,-108.75556,53146,"4","FRUITA","CO",18,"x","R",0.369209647,0.417187137,0.391038732
"122",46,4.14,2.03469899493758,16821,122,122,9999.1613514935,38.5258,-106.9675,53662,"4","GUNNISON","CO",18,"x","R",-0.035002949,-0.269431142,0.231444437
"123",0,0,0,16651,123,123,630.290494757394,37.7716,-107.1097,53951,"4","HERMIT","CO",18,"x","R",0.621227572,0.641864342,0.651549561
"124",36,3.24,1.8,16705,124,124,2182.89211204326,38.0494,-102.1237,54076,"4","HOLLY","CO",17,"x","R",-0.018951671,0.019550726,0.169739893
"125",81,7.29,2.7,16733,125,125,9927.19880771066,38.0936,-102.6306,54770,"4","LAMAR","CO",17,"x","R",-0.099617035,0.101413169,-0.232682227
"126",48,4.32,2.07846096908265,16719,126,126,5826.29200124717,38.0635,-103.2152,54834,"5","LAS ANIMAS","CO",17,"x","R",0.201334766,0.171615596,0.336034034
"127",26,2.34,1.52970585407784,16525,127,127,7335.52644783851,37.1743,-105.9393,55322,"4","MANASSA","CO",18,"x","R",0.67027603,0.458559663,0.999178465
"128",313,28.17,5.30754180388624,16820,128,128,40965.326015885,38.4858,-107.8791,55722,"4","MONTROSE #2","CO",18,"x","R",0.211606123,0.32898875,0.101135657
"129",188,16.92,4.11339276024063,16712,129,129,16557.8017550219,38.0391,-103.6932,57167,"4","ROCKY FORD","CO",17,"x","R",0.36753184,0.749452644,0.036949414
"130",12,1.08,1.03923048454133,16732,130,130,1145.15163001806,38.0857,-106.1445,57337,"4","SAGUACHE","CO",18,"x","R",1.223073763,0.728273174,1.659922306
"131",122,10.98,3.31360830515618,17303,131,131,18448.515306029,40.4883,-106.8233,57936,"4","STEAMBOAT SPRINGS","CO",29,"x","R",0.323403927,0.217036869,0.286332633
"132",50,4.5,2.12132034355964,16691,132,132,7300.46816264516,37.9491,-107.8733,58204,"4","TELLURIDE","CO",18,"x","R",-0.608973338,-0.515414806,-0.696680457
"133",225,20.25,4.5,16525,133,133,12088.3587317073,37.1787,-104.487,58429,"3","TRINIDAD","CO",17,"x","R",0.631504944,0.839569529,0.330662776
"134",32,2.88,1.69705627484771,17197,134,134,3703.17019280099,40.0613,-102.2202,59243,"5","WRAY","CO",28,"x","R",-0.609396521,-1.17440325,0.700248692
"135",185,16.65,4.08044115262063,17694,135,135,27548.8995643983,41.95,-73.36667,62658,"4","FALLS VILLAGE","CT",22,"x","R",0.303616388,0.11787162,0.370727454
"136",2141,192.69,13.8812823615111,17527,136,136,202465.883794845,41.35056,-72.03944,63207,"5","GROTON","CT",22,"x","S",0.103916086,-0.301462655,0.509660071
"137",4585,412.65,20.3137884206762,17471,137,137,525890.335528011,41.12472,-73.5475,67970,"2","STAMFORD","CT",22,"x","U",0.86487622,1.002611108,0.722425812
"138",883,79.47,8.91459477486218,17649,138,138,168308.715489224,41.8,-72.25,68138,"3","STORRS","CT",22,"x","S",0.632446248,0.431520432,0.909216628
"139",892,80.28,8.95991071384085,16996,139,139,133440.451748622,39.25833,-75.51667,72730,"4","DOVER","DE",12,"x","S",0.257766934,-0.053983872,0.589246544
"140",461,41.49,6.44127316607517,16889,140,140,82539.988842234,38.81611,-75.57611,73595,"4","GREENWOOD","DE",12,"x","R",-0.021880149,-0.155030345,0.085029364
"141",373,33.57,5.79396237474839,16904,141,141,78822.3295951375,38.8983,-75.425,75915,"x","MILFORD","DE",12,"x","R",0.594829616,0.366965044,0.897641505
"142",4658,419.22,20.4748626369019,17110,142,142,530531.239240274,39.6694,-75.7514,76410,"3","NEWARK UNIV FARM","DE",12,"x","U",0.191207137,0.411504717,0.173857138
"143",7080,637.2,25.2428207615552,17115,143,143,677994.983183902,39.77389,-75.54139,79605,"4","WILMINGTON PORTER RESERVOIR","DE",12,"W","U",0.466389364,0.262059411,0.679132526
"144",190,17.1,4.13521462562707,15188,144,144,7715.45146989723,29.72583,-85.02056,80211,"1","APALACHICOLA WSO AP","FL",5,"A","R",0.687878469,0.988521263,0.372826109
"145",129,11.61,3.40734500748016,14826,145,145,32215.5416907456,27.218,-81.8738,80228,"4","ARCADIA","FL",1,"W","R",0.121852315,0.158238082,0.130142772
"146",2948,265.32,16.2886463525979,14910,146,146,300268.131139683,27.89861,-81.84333,80478,"4","BARTOW","FL",1,"x","S",0.073974781,-0.030688211,0.393856054
"147",193,17.37,4.16773319683494,14776,147,147,37257.2259389635,26.69278,-80.67111,80611,"x","BELLE GLADE EXP STN Now CRN2)","FL",1,"x","S",0.574169035,0.711064931,0.392833249
"148",106,9.54,3.0886890422961,15335,148,148,27324.473790162,30.72444,-86.09389,82220,"4","DE FUNIAK SPRINGS","FL",5,"x","R",0.365199808,-0.150025194,0.852323425
"149",36,3.24,1.8,14657,149,149,2021.04560287937,25.84889,-81.38972,82850,"4","EVERGLADES","FL",1,"x","R",0.301446367,0.252057205,0.500157707
"150",540,48.6,6.97137002317335,15184,150,150,48118.8373693378,29.755,-81.5389,82915,"4","FEDERAL POINT","FL",1,"x","R",0.574169035,0.711064931,0.392833249
"151",539,48.51,6.96491205974634,15330,151,151,75723.9029491411,30.65889,-81.46361,82944,"4","FERNANDINA BEACH","FL",4,"W","R",0.4445301,0.238482213,0.459186747
"152",9793,881.37,29.6878763134044,14693,152,152,1752915.117072,26.10194,-80.20111,83163,"4","FORT LAUDERDALE","FL",1,"W","U",0.252265682,0.163067771,0.334740256
"153",6342,570.78,23.8910024904775,14749,153,153,574968.64027866,26.585,-81.8614,83186,"4","FORT MYERS FAA AP","FL",1,"A","U",0.21012003,0.130196811,0.286628578
"154",1977,177.93,13.3390404452494,14868,154,154,270605.63514364,27.46222,-80.35389,83207,"4","FORT PIERCE","FL",1,"W","S",0.130576817,-0.057031006,0.284119174
"155",373,33.57,5.79396237474839,15048,155,155,90322.5714015759,28.8031,-82.3125,84289,"4","INVERNESS","FL",1,"W","R",-0.348504084,0.039588253,-0.531976876
"156",250,22.5,4.74341649025257,14516,156,156,31499.7192294984,24.555,-81.75222,84570,"4","KEY WEST WSO AP","FL",1,"A","S",0.106064866,0.150921926,0.060018239
"157",346,31.14,5.58032257132148,15255,157,157,60351.8687507158,30.18528,-82.59417,84731,"4","LAKE CITY","FL",4,"x","R",0.282811291,0.132532606,0.476106766
"158",67,6.03,2.45560583156173,15288,158,158,16303.1637066891,30.45167,-83.41194,85275,"4","MADISON","FL",4,"W","R",-0.052303945,-0.024622852,-0.077495443
"159",1622,145.98,12.0822183393614,15104,159,159,310270.56368383,29.08028,-82.07778,86414,"3","OCALA","FL",1,"W","S",0.359541748,0.126454382,0.678051311
"160",2483,223.47,14.9489130039612,15305,160,160,332056.664459974,30.47806,-87.18694,86997,"2","PENSACOLA FAA AP","FL",5,"A","U",0.309490965,0.313627717,0.286777119
